,State_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,State_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,State_2014,Party_2014,Electors_2014,Votes_2014,Turnout_2014,Margin_2014,Margin %_2014,State_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,State_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Mavelikkara,20,10,871592.0,642816.0,73.8,7414.0,1.2,20,4,1142993.0,806273.0,70.5,48048.0,6.0,20,4,1252668.0,889060.0,71.0,32737.0,3.7,20,4,1264914.0,971035.0,77.2,61138.0,6.3,20,4,1331880.0,894971.0,67.2,10868.0,1.2
Mandsour,14,2,1373890.0,776188.0,56.5,139633.0,18.0,14,4,1371067.0,765754.0,55.9,30819.0,4.0,14,2,1626571.0,1161349.0,71.4,303649.0,26.1,14,2,1714857.0,1370667.0,80.5,376734.0,27.5,14,2,1898060.0,1433492.0,75.5,500655.0,34.9
Maldaha Dakshin,4,4,1088411.0,844032.0,77.6,111108.0,13.2,4,4,1052093.0,831309.0,79.0,136280.0,16.4,4,4,1347143.0,1092407.0,81.1,164111.0,15.0,4,4,1461017.0,1279202.0,88.4,8222.0,0.6,4,4,1782159.0,1369789.0,76.9,128368.0,9.4
Mahbubnagar,0,4,1365922.0,866243.0,63.4,47907.0,5.5,0,0,1368868.0,927588.0,67.8,20184.0,2.2,31,0,1418672.0,1014800.0,71.5,2590.0,0.3,31,0,1417629.0,984634.0,70.2,77829.0,7.9,31,2,1682470.0,1226078.0,72.9,4500.0,0.4
Krishnanagar,4,10,1117441.0,924304.0,82.7,20387.0,2.2,4,32,1223082.0,1047125.0,85.6,77386.0,7.4,4,32,1476783.0,1247914.0,84.5,71255.0,5.7,4,32,1774833.0,1366443.0,77.4,63218.0,4.6,4,32,1755631.0,1425712.0,81.2,56705.0,4.0
Kheda,3,6,1319319.0,731759.0,55.5,20810.0,2.8,7,4,1448571.0,602867.0,41.6,846.0,0.1,7,2,1599476.0,955906.0,59.8,232901.0,24.4,7,2,1697520.0,1098633.0,65.8,367145.0,33.4,7,2,2007404.0,1175848.0,58.6,357758.0,30.4
Janjgir-Champa,16,2,1374418.0,717350.0,52.2,11329.0,1.6,16,2,1518450.0,737608.0,48.6,87211.0,11.8,16,2,1737532.0,1073347.0,61.8,174961.0,16.3,16,2,1850601.0,1247650.0,68.0,83255.0,6.7,16,2,2056047.0,1392240.0,67.7,60000.0,4.3
Yavatmal-Washim,3,2,1133605.0,663001.0,58.5,56804.0,8.6,3,6,1554042.0,840574.0,54.1,56951.0,6.8,3,6,1743498.0,1032949.0,59.3,93816.0,9.1,3,6,1812059.0,1174220.0,65.0,117939.0,10.0,3,66,1940916.0,1225530.0,63.1,94473.0,7.7
Tonk-Sawai Madhopur,2,2,1278411.0,593288.0,46.4,58512.0,9.9,2,4,1510047.0,802459.0,53.1,317.0,0.0,2,2,1710775.0,1043040.0,61.0,135311.0,13.0,2,2,1893418.0,1233458.0,65.6,111291.0,9.0,2,4,2148128.0,1226584.0,57.1,64949.0,5.3
Tiruchirappalli,9,29,1192254.0,707830.0,59.4,216725.0,30.6,9,36,1067193.0,719031.0,67.4,4335.0,0.6,9,36,1387140.0,988250.0,71.2,150476.0,15.2,9,4,1489425.0,1048062.0,71.3,459286.0,43.8,9,29,1553985.0,1055964.0,68.0,313094.0,29.7
Patna Sahib,10,11,1741220.0,901556.0,51.8,38562.0,4.3,10,2,1641976.0,552538.0,33.7,166770.0,30.2,10,2,1946249.0,882262.0,45.3,265805.0,30.1,10,2,2136800.0,982285.0,46.2,284657.0,29.0,10,2,2292045.0,1075496.0,46.9,153846.0,14.3
Maharajganj,10,8,1114665.0,664381.0,59.6,46465.0,7.0,10,11,1312219.0,599531.0,45.7,2797.0,0.5,10,2,1644524.0,846654.0,51.5,38415.0,4.5,10,2,1793406.0,972703.0,55.5,230772.0,23.7,1,2,2004050.0,1210451.0,60.4,35451.0,2.9
Maharajganj,1,2,1311205.0,746614.0,56.9,64799.0,8.7,1,4,1509167.0,599531.0,39.7,123628.0,20.6,1,2,1743131.0,1056078.0,60.6,240458.0,22.8,1,2,1866715.0,1226916.0,66.3,340424.0,27.7,10,2,1934937.0,1014109.0,52.4,102651.0,10.1
Aurangabad,10,4,1401973.0,767159.0,54.7,7460.0,1.0,10,8,1376323.0,598332.0,43.5,72058.0,12.0,10,2,1536153.0,786274.0,51.2,66347.0,8.4,3,53,1762823.0,1198221.0,68.3,4492.0,0.4,3,6,2059710.0,1302197.0,63.2,134650.0,10.3
Aurangabad,3,6,1636117.0,911532.0,55.7,121923.0,13.4,3,6,1417964.0,598332.0,42.2,33014.0,5.5,3,6,1589393.0,982933.0,61.8,162000.0,16.5,10,2,1737821.0,941595.0,55.5,72607.0,7.7,10,11,1871564.0,945880.0,50.5,79111.0,8.4
Hamirpur,1,1,1185235.0,604055.0,51.0,37154.0,6.2,22,2,1187377.0,699687.0,58.9,72732.0,10.4,22,2,1247699.0,835205.0,66.9,98403.0,11.8,1,2,1715940.0,1089778.0,64.4,248652.0,22.8,1,1,1839761.0,1115299.0,60.6,2629.0,0.2
Hamirpur,22,2,1064238.0,649994.0,61.1,1615.0,0.2,1,3,1498840.0,699687.0,46.7,25502.0,3.6,1,2,1737993.0,975240.0,56.1,266788.0,27.4,22,2,1247699.0,988765.0,79.9,399572.0,40.4,22,2,1432636.0,1047263.0,73.1,182357.0,17.4
