,State_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,State_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,State_2014,Party_2014,Electors_2014,Votes_2014,Turnout_2014,Margin_2014,Margin %_2014,State_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,State_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Dum Dum,4,10,1543705.0,1245065.0,80.7,98252.0,7.9,4,32,1212220.0,976769.0,80.6,20478.0,2.1,4,32,1405981.0,1132644.0,80.6,154934.0,13.7,4,32,1699710.0,1204660.0,71.7,53002.0,4.4,4,32,1699656.0,1260046.0,74.1,70660.0,5.6
Dumka,19,21,1083200.0,625043.0,57.7,115015.0,18.4,19,21,1128361.0,622736.0,55.2,18812.0,3.0,19,21,1247155.0,903060.0,72.4,39030.0,4.3,19,2,1349843.0,1025968.0,77.1,47590.0,4.6,19,21,1591061.0,1184132.0,74.4,22527.0,1.9
Durg,16,2,1462883.0,761323.0,52.0,61468.0,8.1,16,2,1620400.0,905900.0,55.9,9954.0,1.1,16,4,1855781.0,1258342.0,67.8,16848.0,1.3,16,2,1878677.0,1391996.0,74.3,391978.0,28.2,16,2,2090414.0,1542787.0,73.8,438226.0,28.4
East Delhi,18,4,2606589.0,1190884.0,45.7,229779.0,19.3,18,4,1604795.0,857422.0,53.4,241053.0,28.1,18,2,1829578.0,1196336.0,65.4,190463.0,15.9,18,2,1829578.0,1257821.0,69.0,391222.0,31.1,18,2,2120584.0,1264049.0,59.6,93663.0,7.4
Ernakulam,20,7,1069131.0,657891.0,61.5,70099.0,10.7,20,4,1023053.0,745856.0,72.9,11790.0,1.6,20,4,1156467.0,850834.0,73.6,87047.0,10.2,20,4,1190575.0,967203.0,81.7,169153.0,17.5,20,4,1324047.0,910502.0,68.8,250385.0,27.5
Etah,1,1,1128519.0,587065.0,52.0,51335.0,8.7,1,7,1278295.0,568046.0,44.4,128268.0,22.6,1,2,1577457.0,926281.0,58.7,201001.0,21.7,1,2,1587949.0,999607.0,63.3,122670.0,12.3,1,1,1700524.0,1010381.0,59.4,28052.0,2.8
Etawah,1,1,1264620.0,703901.0,55.7,190157.0,27.0,1,1,1416867.0,638202.0,45.0,46746.0,7.3,1,2,1707237.0,939604.0,55.0,172946.0,18.4,1,2,1714935.0,1027815.0,60.3,64437.0,6.3,1,1,1828498.0,1033784.0,56.5,58419.0,5.7
Faizabad,1,3,1326533.0,686478.0,51.8,33486.0,4.9,1,4,1500160.0,749262.0,50.0,54228.0,7.2,1,2,1738701.0,1022716.0,58.8,282775.0,27.6,1,2,1783699.0,1087121.0,61.5,65477.0,6.0,1,1,1927459.0,1140661.0,59.2,54567.0,4.8
Faridabad,6,4,1546578.0,844647.0,54.6,151929.0,18.0,6,4,1103046.0,624896.0,56.7,68201.0,10.9,6,2,1740352.0,1130726.0,65.0,466873.0,41.3,6,2,1926323.0,1327295.0,69.2,638239.0,48.1,6,2,2430212.0,1471322.0,60.5,172914.0,11.8
Faridkot,8,22,1262934.0,893428.0,70.7,135279.0,15.1,8,22,1288090.0,930521.0,72.2,62042.0,6.7,8,42,1455075.0,1032107.0,70.9,172516.0,16.7,8,4,1515062.0,974947.0,65.6,83256.0,8.5,8,7,1594033.0,1014455.0,63.6,70053.0,6.9
Farrukhabad,1,1,1366501.0,665458.0,48.7,2745.0,0.4,1,4,1306214.0,611143.0,46.8,27199.0,4.5,1,2,1613781.0,970677.0,60.2,150502.0,15.5,1,2,1661488.0,1002953.0,60.8,221702.0,22.1,1,2,1747182.0,1033794.0,59.2,2678.0,0.3
Firozabad,1,1,1305888.0,531305.0,40.7,54788.0,10.3,1,1,1422243.0,684881.0,48.2,67301.0,9.8,1,1,1636738.0,1104606.0,67.5,114059.0,10.3,1,2,1698385.0,1075866.0,63.7,28781.0,2.7,1,1,1890772.0,1107296.0,58.6,89312.0,8.1
Gandhinagar,7,2,2126829.0,845212.0,39.7,217138.0,25.7,7,2,1555709.0,791098.0,50.9,121747.0,15.4,7,2,1733972.0,1135495.0,65.5,483121.0,42.5,7,2,1874564.0,1284090.0,69.3,557014.0,43.4,7,2,2182736.0,1321802.0,60.6,744716.0,56.3
Ganganagar,2,2,1337857.0,720451.0,53.9,7393.0,1.0,2,4,1491983.0,910531.0,61.0,140668.0,15.4,2,2,1718421.0,1256806.0,73.1,291741.0,23.2,2,2,1901409.0,1451765.0,77.2,406978.0,28.0,2,4,2102002.0,1413494.0,67.3,88153.0,6.2
Garhwal,5,2,1081299.0,499546.0,46.2,50962.0,10.2,5,4,1092282.0,539608.0,49.4,17397.0,3.2,5,2,1269083.0,682024.0,53.7,184526.0,27.1,5,2,1295238.0,742784.0,58.3,302669.0,40.7,5,2,1369388.0,737431.0,53.9,163503.0,22.2
Gaya,10,11,1436323.0,883374.0,61.5,102934.0,11.7,10,2,1329192.0,563429.0,42.4,62453.0,11.1,10,2,1500751.0,809378.0,53.9,115504.0,14.3,10,8,1698772.0,957248.0,58.1,152426.0,15.9,10,63,1816815.0,963676.0,53.0,101812.0,10.6
Ghazipur,1,1,1476687.0,869032.0,58.9,226777.0,26.1,1,1,1527723.0,770622.0,50.4,69309.0,9.0,1,2,1801519.0,986673.0,54.8,32452.0,3.3,1,3,1832844.0,1105627.0,60.7,119392.0,10.8,1,1,2074883.0,1153094.0,55.6,124861.0,10.8
Ghosi,1,1,1427284.0,721463.0,50.6,21012.0,2.9,1,3,1693231.0,765689.0,45.2,60945.0,8.0,1,2,1891113.0,1039656.0,55.0,146015.0,14.0,1,3,1945291.0,1140781.0,58.9,122568.0,10.7,1,1,2083928.0,1150590.0,55.2,162943.0,14.2
Giridih,19,21,1312691.0,714371.0,54.4,149794.0,21.0,19,2,1346527.0,619311.0,46.0,94738.0,15.3,19,2,1515137.0,969997.0,64.0,40313.0,4.2,19,52,1625806.0,1106918.0,69.3,248347.0,22.4,19,64,1864660.0,1264833.0,67.8,80880.0,6.4
Godda,19,4,1338939.0,831337.0,62.1,26754.0,3.2,19,2,1412253.0,797695.0,56.5,6407.0,0.8,19,2,1590628.0,1049442.0,66.0,60682.0,5.8,19,2,1683948.0,1194036.0,72.0,184227.0,15.4,19,2,2028154.0,1398204.0,68.9,101813.0,7.3
Gonda,1,1,1391430.0,606618.0,43.6,36998.0,6.1,1,4,1341455.0,605257.0,45.1,23675.0,3.9,1,2,1710827.0,873732.0,51.1,160416.0,18.4,1,2,1744625.0,923816.0,53.4,166360.0,18.0,1,2,1843121.0,952884.0,51.7,46224.0,4.9
Gopalganj,10,11,1231178.0,694487.0,56.4,192919.0,27.8,10,8,1349072.0,504611.0,37.4,42472.0,8.4,10,2,1652767.0,903583.0,54.7,286936.0,31.8,10,8,1832200.0,1024876.0,58.8,286434.0,27.9,10,8,2024673.0,1063027.0,52.5,127180.0,12.0
Gorakhpur,1,2,1432002.0,689217.0,48.1,142039.0,20.6,1,2,1696474.0,748613.0,44.1,220271.0,29.4,1,2,1904498.0,1040199.0,54.6,312783.0,30.1,1,2,1960935.0,1184635.0,60.8,301664.0,25.5,1,2,2097202.0,1154413.0,55.1,103526.0,9.0
Gulbarga,13,4,1439006.0,827038.0,57.5,57471.0,6.9,13,4,1543771.0,759481.0,49.2,13404.0,1.8,13,4,1721990.0,997638.0,57.9,74733.0,7.5,13,2,1920070.0,1189361.0,62.5,95452.0,8.0,13,4,2098202.0,1310477.0,62.5,27205.0,2.1
Guna,14,4,1422045.0,668208.0,47.0,86360.0,12.9,14,4,1202772.0,650328.0,54.1,249737.0,38.4,14,4,1605619.0,976629.0,60.8,120792.0,12.4,14,2,1631451.0,1178423.0,73.0,125549.0,10.7,14,2,1889551.0,1373766.0,72.7,540929.0,39.4
Gurdaspur,8,2,1210260.0,785813.0,64.9,24983.0,3.2,8,4,1318967.0,933323.0,70.8,8342.0,0.9,8,2,1500337.0,1042699.0,69.5,136065.0,13.0,8,2,1535937.0,1103887.0,72.5,82459.0,7.5,8,4,1605204.0,1077826.0,67.2,82861.0,7.7
Gwalior,14,4,1381464.0,564497.0,40.9,35864.0,6.4,14,2,1420728.0,584165.0,41.1,26591.0,4.6,14,2,1877003.0,990912.0,52.8,29699.0,3.0,14,2,1938511.0,1196096.0,62.0,146842.0,12.3,14,2,2154601.0,1343229.0,62.3,70210.0,5.2
Hajipur,10,23,1208834.0,773565.0,64.0,237801.0,30.7,10,8,1327075.0,555110.0,41.8,37954.0,6.8,10,23,1649547.0,904753.0,54.9,225500.0,24.9,10,23,1810137.0,1006817.0,57.0,205449.0,20.4,10,65,1967094.0,1155324.0,58.7,170105.0,14.7
Hardoi,1,1,1213260.0,522063.0,43.0,39203.0,7.5,1,1,1416949.0,575093.0,40.6,92935.0,16.2,1,2,1714387.0,972894.0,56.8,81343.0,8.4,1,2,1775274.0,1057558.0,60.2,132474.0,12.5,1,2,1910485.0,1100116.0,57.6,27856.0,2.5
Hardwar,5,1,914440.0,486341.0,53.2,37659.0,7.7,5,4,1294280.0,788217.0,60.9,127412.0,16.2,5,2,1642873.0,1175692.0,71.6,177822.0,15.1,5,2,1785889.0,1271030.0,71.5,258729.0,20.4,5,2,2035726.0,1302623.0,64.0,164056.0,12.6
Hassan,13,18,1292878.0,910103.0,70.4,190305.0,20.9,13,18,1417213.0,980318.0,69.2,291113.0,29.7,13,18,1561336.0,1147172.0,73.5,100462.0,8.8,13,18,1630952.0,1277552.0,79.1,141324.0,11.1,13,4,1736610.0,1355007.0,78.0,42649.0,3.1
Hathras,1,2,1212983.0,492076.0,40.6,22837.0,4.6,1,13,1437725.0,648539.0,45.1,36852.0,5.7,1,2,1758927.0,1049273.0,59.7,326386.0,31.1,1,2,1799499.0,1150294.0,64.4,260208.0,22.6,1,2,1938080.0,1082720.0,55.9,247318.0,22.8
Hazaribagh,19,17,1180058.0,705438.0,59.8,105328.0,14.9,19,2,1301651.0,690936.0,53.1,40164.0,5.8,19,2,1518831.0,967152.0,63.7,159128.0,16.5,19,2,1518831.0,1080929.0,71.7,479548.0,44.4,19,2,1939374.0,1264667.0,65.2,276686.0,21.9
Hingoli,3,15,1189303.0,727547.0,61.2,12545.0,1.7,3,6,1369774.0,817580.0,59.7,73634.0,9.0,3,4,1586194.0,1051164.0,66.3,1632.0,0.2,3,6,1659433.0,1157516.0,70.0,277856.0,24.0,3,66,1817734.0,1159300.0,63.8,108602.0,9.4
Hooghly,4,10,1161683.0,919683.0,79.2,166966.0,18.2,4,32,1405684.0,1163978.0,82.8,81523.0,7.0,4,32,1630042.0,1348870.0,82.8,189084.0,14.0,4,2,1373449.0,1457842.0,107.1,73362.0,5.0,4,32,1858067.0,1517511.0,81.7,76853.0,5.1
Hoshangabad,14,2,1287203.0,633736.0,49.2,136409.0,21.5,14,4,1297404.0,712284.0,54.9,19245.0,2.7,14,2,1568127.0,1031175.0,65.8,389960.0,37.8,14,2,1650087.0,1265869.0,77.8,553682.0,43.7,14,2,1855692.0,1249692.0,67.3,431696.0,34.5
Hoshiarpur,8,2,1137423.0,655662.0,57.6,104371.0,15.9,8,4,1299234.0,843123.0,64.9,366.0,0.0,8,2,1485286.0,961297.0,64.7,13582.0,1.4,8,2,1548898.0,990791.0,64.8,48530.0,4.9,8,42,1601826.0,948485.0,59.2,44111.0,4.7
Howrah,4,10,1240427.0,909246.0,73.3,246937.0,27.2,4,32,1344746.0,994315.0,73.9,37392.0,3.8,4,32,1505099.0,1125399.0,74.8,196956.0,17.5,4,32,1796175.0,1222293.0,68.4,103695.0,8.5,4,32,1769184.0,1271796.0,71.9,169442.0,13.3
Hyderabad,0,24,1770725.0,986387.0,55.7,100145.0,10.2,0,24,1393242.0,730544.0,52.4,113865.0,15.6,31,24,1823664.0,971421.0,53.3,202454.0,20.8,31,53,1927685.0,877872.0,45.8,282186.0,32.1,31,53,2217094.0,1080324.0,48.7,338087.0,31.3
Idukki,20,25,1034338.0,727964.0,70.4,69384.0,9.5,20,4,1062849.0,787236.0,74.1,74796.0,9.5,20,7,1158735.0,819766.0,70.8,50542.0,6.2,20,4,1160824.0,919297.0,79.7,171053.0,18.6,20,4,1250157.0,840657.0,67.2,133727.0,15.9
Indore,14,2,1678030.0,854240.0,50.9,193936.0,22.7,14,2,1570094.0,797171.0,50.8,11480.0,1.4,14,2,2115303.0,1316817.0,62.3,466901.0,35.5,14,2,2235342.0,1629108.0,73.1,547754.0,33.6,14,2,2526803.0,1561968.0,61.8,1175092.0,75.2
Inner Manipur,21,4,740718.0,416376.0,56.2,49333.0,11.8,21,4,826755.0,583323.0,70.6,30960.0,5.3,21,4,855359.0,640871.0,74.9,94674.0,14.8,21,2,855359.0,759301.0,89.1,17755.0,2.3,21,4,991574.0,796897.0,80.4,109801.0,13.8
Jabalpur,14,2,1347885.0,572548.0,42.5,99531.0,17.4,14,2,1446345.0,633495.0,43.8,106003.0,16.7,14,2,1711683.0,1002184.0,58.6,208639.0,20.8,14,2,1767369.0,1263573.0,71.7,454744.0,36.0,14,2,1896346.0,1158545.0,61.0,486674.0,42.0
Jadavpur,4,10,1354946.0,1019775.0,75.3,89668.0,8.8,4,32,1331537.0,1085301.0,81.5,56267.0,5.2,4,32,1595746.0,1272362.0,79.7,125203.0,9.8,4,32,1990328.0,1436894.0,73.0,295239.0,20.5,4,32,2033525.0,1566509.0,77.0,258201.0,16.5
Jagatsinghpur,12,12,1301496.0,928017.0,71.3,57262.0,6.2,12,17,1455406.0,982922.0,67.5,76735.0,7.8,12,12,1499673.0,1131932.0,75.5,276394.0,24.4,12,12,1584635.0,1229190.0,78.0,271655.0,22.1,12,2,1700814.0,1286287.0,75.6,40696.0,3.2
Jahanabad,10,11,1246756.0,863788.0,69.3,46438.0,5.4,10,8,1276912.0,599175.0,46.9,21327.0,3.6,10,43,1423246.0,811516.0,57.0,42340.0,5.2,10,8,1573907.0,822065.0,54.0,1751.0,0.2,10,11,1670327.0,925370.0,55.1,142591.0,15.4
Jaipur,2,2,1896856.0,880276.0,46.4,107186.0,12.2,2,4,1684541.0,812957.0,48.3,16099.0,2.0,2,2,1957818.0,1296806.0,66.2,539345.0,41.6,2,2,2043881.0,1456404.0,71.6,430626.0,29.6,2,2,2287350.0,1463258.0,64.0,331767.0,22.7
Jajpur,12,12,1278758.0,876068.0,68.5,51466.0,5.9,12,12,1227088.0,817649.0,66.6,127747.0,15.6,12,12,1303733.0,980435.0,75.2,320271.0,32.7,12,12,1413322.0,1092084.0,77.8,101693.0,9.3,12,2,1545664.0,1161208.0,75.1,1587.0,0.1
Jalaun,1,2,1310156.0,579748.0,44.3,26791.0,4.6,1,1,1684988.0,797588.0,47.3,11409.0,1.4,1,2,1903332.0,1109166.0,58.3,287202.0,25.9,1,2,1470521.0,1129955.0,77.7,158377.0,14.0,1,1,2006161.0,1128949.0,56.3,53898.0,4.8
Jalgaon,3,2,1239241.0,616072.0,49.7,20646.0,3.4,3,2,1549391.0,656612.0,42.4,96020.0,14.6,3,2,1707933.0,990332.0,58.0,383525.0,38.7,3,2,1845368.0,1088277.0,59.5,411617.0,37.8,3,2,1994046.0,1169553.0,58.7,251594.0,21.5
Jalna,3,2,1242929.0,755991.0,60.8,61332.0,8.1,3,2,1426255.0,797213.0,55.9,8482.0,1.1,3,2,1612054.0,1066259.0,66.1,206798.0,19.4,3,2,1765712.0,1208139.0,69.3,332815.0,27.5,3,4,1967574.0,1363409.0,69.3,109958.0,8.1
Jalore,2,2,1428584.0,654757.0,45.8,39192.0,6.0,2,2,1520957.0,577810.0,38.0,49805.0,8.6,2,2,1824968.0,1087272.0,59.6,381145.0,35.1,2,2,1600603.0,1361619.0,86.2,261110.0,19.2,2,2,2297328.0,1451126.0,63.2,201543.0,13.9
Jalpaiguri,4,10,1104784.0,884971.0,80.1,180605.0,20.4,4,10,1252142.0,1032242.0,82.4,88371.0,8.6,4,32,1531469.0,1302117.0,85.0,69606.0,5.3,4,2,1618231.0,1500922.0,94.0,184004.0,12.3,4,2,1885963.0,1578389.0,83.7,86693.0,5.5
Jamnagar,7,4,1072175.0,433392.0,40.4,5593.0,1.3,7,4,1298599.0,594603.0,45.8,26418.0,4.4,7,2,1470952.0,852643.0,58.0,175289.0,20.6,7,2,1615693.0,1010965.0,63.1,236804.0,23.4,7,2,1817864.0,1051235.0,57.8,238008.0,22.6
Jamshedpur,19,21,1372125.0,776508.0,56.6,105633.0,13.6,19,2,1380279.0,705570.0,51.1,119663.0,17.0,19,2,1581665.0,1049140.0,66.3,99876.0,9.5,19,2,1658549.0,1144226.0,69.3,302090.0,26.4,19,2,1869278.0,1277629.0,68.4,259782.0,20.3
Jangipur,4,4,1082151.0,881248.0,81.4,36860.0,4.2,4,4,1087054.0,934813.0,86.0,128149.0,13.7,4,4,1391656.0,1119084.0,80.4,8161.0,0.7,4,32,1713293.0,1304504.0,76.8,245782.0,18.8,4,32,1805360.0,1369633.0,75.9,116637.0,8.5
Jaunpur,1,1,1515676.0,714077.0,47.1,27125.0,3.8,1,3,1662127.0,763987.0,46.0,80351.0,10.5,1,2,1848842.0,1007143.0,54.5,146310.0,14.5,1,3,1759456.0,1040652.0,59.3,80936.0,7.8,1,1,1977237.0,1101788.0,55.7,99335.0,9.0
Jhanjharpur,10,11,1163817.0,704243.0,60.5,12835.0,1.8,10,8,1418977.0,607835.0,42.8,72709.0,12.0,10,2,1650753.0,941249.0,57.0,55408.0,5.9,10,8,1835089.0,1060562.0,58.3,322951.0,30.5,10,8,2003040.0,1093741.0,54.6,184169.0,16.8
Jhansi,1,1,1526320.0,819636.0,53.7,26299.0,3.2,1,4,1562082.0,861858.0,55.2,47670.0,5.5,1,2,1932015.0,1320804.0,68.4,190467.0,14.4,1,2,2385972.0,1380890.0,58.6,365683.0,26.5,1,2,2161221.0,1380506.0,63.9,102614.0,7.4
Jhargram,4,10,1029496.0,793099.0,77.0,351343.0,44.3,4,10,1241574.0,958825.0,77.2,292345.0,30.5,4,32,1475112.0,1257613.0,85.3,347883.0,27.7,4,2,1522363.0,1406214.0,93.5,11767.0,0.8,4,32,1779794.0,1490843.0,83.8,174048.0,11.7
Jhunjhunu,2,4,1370602.0,679614.0,49.6,23355.0,3.4,2,4,1432581.0,603278.0,42.1,65332.0,10.8,2,2,1696788.0,1006465.0,59.3,233835.0,23.2,2,2,1869883.0,1198927.0,64.6,302547.0,25.2,2,4,2068540.0,1118927.0,54.1,18235.0,1.6
Jodhpur,2,2,1572050.0,863578.0,54.9,42495.0,4.9,2,4,1506821.0,684623.0,45.4,98329.0,14.4,2,2,1727363.0,1078598.0,62.4,410051.0,38.0,2,2,1888942.0,1346243.0,71.9,274440.0,20.4,2,2,2132713.0,1383838.0,64.9,115677.0,8.4
Jorhat,15,4,1078149.0,667973.0,62.0,51292.0,7.7,15,4,1182349.0,765059.0,64.7,71914.0,9.4,15,2,1234448.0,931336.0,75.5,102420.0,11.0,15,2,1319952.0,1057965.0,81.1,82653.0,7.8,15,4,1727121.0,1391160.0,80.6,144393.0,10.4
Joynagar,4,5,1136859.0,806749.0,71.0,230521.0,28.6,4,7,1143640.0,915801.0,80.1,53705.0,5.9,4,32,1458724.0,1186052.0,81.3,108384.0,9.1,4,32,1805964.0,1356102.0,75.7,316775.0,23.4,4,32,1844780.0,1482631.0,80.3,470219.0,31.7
Junagadh,7,4,1239398.0,658280.0,53.1,40921.0,6.2,7,2,1313064.0,760085.0,57.9,13759.0,1.8,7,2,1485543.0,941378.0,63.4,135832.0,14.4,7,2,1576209.0,1005224.0,64.8,150185.0,14.9,7,2,1795110.0,1068253.0,59.5,135494.0,12.7
Kairana,1,13,1220829.0,816700.0,66.9,342414.0,41.9,1,3,1282551.0,725359.0,56.6,22463.0,3.1,1,2,1531755.0,1119324.0,73.1,236828.0,21.2,1,2,1599120.0,1124047.0,70.5,92160.0,8.2,1,1,1722432.0,1079806.0,62.7,69116.0,6.4
Kaiserganj,1,1,1272807.0,569938.0,44.8,12660.0,2.2,1,1,1376267.0,565673.0,41.1,72199.0,12.8,1,2,1711967.0,943357.0,55.1,78218.0,8.3,1,2,1779143.0,981400.0,55.9,261601.0,26.7,1,2,1904726.0,1062099.0,55.8,148843.0,14.0
Kalahandi,12,2,1132680.0,753897.0,66.6,34122.0,4.5,12,4,1421959.0,980310.0,68.9,154037.0,15.7,12,12,1474135.0,1117536.0,75.8,56347.0,5.0,12,2,1563160.0,1228292.0,79.9,26814.0,2.2,12,2,1700780.0,1334244.0,78.5,133813.0,10.0
Kangra,22,4,1033686.0,640345.0,62.0,17791.0,2.8,22,2,1200165.0,662248.0,55.2,20779.0,3.1,22,2,1258601.0,799445.0,63.5,170072.0,21.3,22,2,1258601.0,1006989.0,80.9,477623.0,47.4,22,2,1502514.0,1036868.0,69.0,251895.0,24.3
Kanker,16,2,1152128.0,553195.0,48.0,73626.0,13.3,16,2,1296734.0,742076.0,57.2,19288.0,2.6,16,2,1447774.0,1016943.0,70.2,35158.0,3.5,16,2,1531469.0,1159193.0,77.4,6914.0,0.6,16,2,1654440.0,1265429.0,76.5,1884.0,0.1
Kannauj,1,1,1346673.0,759336.0,56.4,307373.0,40.5,1,1,1504276.0,741965.0,49.3,115864.0,15.6,1,1,1808889.0,1114460.0,61.6,19907.0,1.8,1,2,1827515.0,1140496.0,62.9,12353.0,1.1,1,1,1988925.0,1217833.0,61.2,170922.0,14.0
Kanpur,1,4,1427231.0,618698.0,43.4,5638.0,0.9,1,4,1390055.0,512917.0,36.9,18906.0,3.7,1,2,1611248.0,835079.0,51.8,222946.0,26.7,1,2,1936426.0,842994.0,43.7,155934.0,18.5,1,2,1662859.0,887396.0,53.4,20968.0,2.4
Karimnagar,0,0,1344786.0,874367.0,65.0,131168.0,15.0,0,4,1496211.0,991417.0,66.3,50243.0,5.1,31,0,1550834.0,1125691.0,72.6,205077.0,18.2,31,2,1544460.0,1147697.0,74.8,89508.0,7.8,31,2,1797150.0,1312852.0,73.1,225209.0,17.2
Karnal,6,4,1240344.0,818605.0,66.0,164762.0,20.1,6,4,1216977.0,811067.0,66.7,76346.0,9.4,6,2,1684321.0,1193500.0,70.9,360147.0,30.2,6,2,1821231.0,1300722.0,71.7,656142.0,50.4,6,2,2104229.0,1345892.0,64.0,232577.0,17.3
Karur,9,19,1069359.0,742800.0,69.5,190876.0,25.7,9,36,1012924.0,825860.0,81.5,47254.0,5.7,9,36,1298322.0,1046534.0,80.6,195247.0,18.7,9,4,1365804.0,1103165.0,81.5,420546.0,38.1,9,4,1429790.0,1132045.0,79.1,166816.0,14.7
Kasaragod,20,10,1160134.0,898746.0,77.5,108256.0,12.0,20,10,1113892.0,848205.0,76.2,64427.0,7.6,20,10,1243730.0,974215.0,78.3,6921.0,0.7,20,4,1305827.0,1100051.0,84.6,40438.0,3.7,20,4,1452230.0,1112546.0,76.6,100649.0,9.0
Katihar,10,2,1158042.0,704422.0,60.8,2565.0,0.4,10,2,1272769.0,724942.0,57.0,14015.0,1.9,10,15,1446478.0,977830.0,67.6,114740.0,11.7,10,8,1645713.0,1117734.0,69.2,57203.0,5.1,10,4,1833009.0,1171546.0,63.9,49863.0,4.3
Kendrapara,12,12,1186834.0,836194.0,70.5,86843.0,10.4,12,12,1434425.0,982950.0,68.5,127107.0,12.9,12,12,1555444.0,1140999.0,73.4,209108.0,18.3,12,12,1658168.0,1236466.0,75.0,152584.0,12.3,12,2,1792723.0,1277108.0,71.2,66536.0,5.2
Keonjhar,12,2,1183472.0,814619.0,68.8,49209.0,6.0,12,12,1265225.0,892274.0,70.5,126484.0,14.2,12,12,1346683.0,1083869.0,80.5,157317.0,14.5,12,12,1449996.0,1176292.0,82.5,66203.0,5.6,12,2,1588179.0,1256615.0,79.1,97042.0,7.7
Khagaria,10,11,1196971.0,675969.0,56.5,67123.0,9.9,10,8,1342970.0,624966.0,46.5,138755.0,22.2,10,23,1492068.0,896231.0,60.1,76003.0,8.5,10,23,1653928.0,966813.0,58.9,248570.0,25.7,10,65,1840217.0,1061894.0,57.7,161131.0,15.2
Khajuraho,14,2,1552876.0,771830.0,49.7,111781.0,14.5,14,2,1349511.0,583085.0,43.2,28332.0,4.9,14,2,1702794.0,874477.0,51.4,247490.0,28.3,14,2,1801044.0,1257783.0,70.4,492382.0,39.1,14,2,1997483.0,1140570.0,57.1,541229.0,47.5
Khammam,0,4,1298614.0,1020523.0,78.6,108888.0,10.7,0,28,1259815.0,1038421.0,82.4,124448.0,12.0,31,44,1440289.0,1182897.0,82.1,11974.0,1.0,31,0,1441181.0,1139831.0,80.2,168062.0,14.7,31,4,1631039.0,1251283.0,76.7,467847.0,37.4
Khandwa,14,2,1217726.0,605099.0,49.7,102737.0,17.0,14,4,1355325.0,813214.0,60.0,49081.0,6.0,14,2,1759410.0,1257327.0,71.5,259714.0,20.7,14,2,1849606.0,1468138.0,80.2,273343.0,18.6,14,2,2112203.0,1512542.0,71.6,269971.0,17.8
Khargone,14,2,1287299.0,651747.0,50.6,58617.0,9.0,14,2,1263778.0,760779.0,60.2,34175.0,4.5,14,2,1703271.0,1152525.0,67.7,257879.0,22.4,14,2,1783776.0,1427607.0,81.1,202510.0,14.2,14,2,2046030.0,1558778.0,76.2,135018.0,8.7
Kheri,1,1,1437563.0,706706.0,49.2,11760.0,1.7,1,4,1297088.0,707983.0,54.6,8777.0,1.2,1,2,1679466.0,1077868.0,64.2,110274.0,10.2,1,2,1729085.0,1136660.0,66.2,218807.0,19.2,1,1,1870170.0,1213359.0,64.9,34329.0,2.8
Khunti,19,4,904846.0,490772.0,54.2,51226.0,10.4,19,2,980868.0,510352.0,52.0,80175.0,15.7,19,2,1111852.0,736955.0,66.3,92248.0,12.5,19,2,1165658.0,832377.0,73.2,1445.0,0.2,19,4,1326138.0,936682.0,70.6,149675.0,16.0
Kishanganj,10,11,1278476.0,813315.0,63.6,160497.0,19.7,10,4,1186369.0,626914.0,52.8,80269.0,12.8,10,4,1438990.0,928490.0,64.5,194612.0,21.0,10,4,1652940.0,1101603.0,67.8,34466.0,3.1,10,4,1829994.0,1151099.0,62.9,59692.0,5.2
Kodarma,19,2,1325734.0,825697.0,62.3,154944.0,18.8,19,37,1390428.0,780555.0,56.1,48520.0,6.2,19,2,1639629.0,1024906.0,62.5,98654.0,9.6,19,2,1765156.0,1209541.0,70.3,455600.0,37.7,19,2,2205318.0,1369964.0,62.1,377014.0,27.5
Kokrajhar,15,7,1216553.0,966915.0,79.5,484129.0,50.1,15,38,1377837.0,1015053.0,73.7,190322.0,18.7,15,7,1505476.0,1223869.0,81.3,355779.0,29.1,15,7,1510051.0,1479485.0,99.0,37786.0,2.6,15,67,1484571.0,1241496.0,83.6,51583.0,4.2
Kolar,13,4,1262765.0,907296.0,71.9,11635.0,1.3,13,4,1340923.0,928350.0,69.2,23006.0,2.5,13,4,1492975.0,1127323.0,75.5,47850.0,4.2,13,2,1608229.0,1258551.0,79.1,210021.0,16.7,13,18,1726914.0,1355228.0,78.5,71388.0,5.3
Kolhapur,3,15,1162212.0,811534.0,69.8,14753.0,1.8,3,7,1583030.0,1029203.0,65.0,44800.0,4.4,3,15,1758300.0,1260289.0,71.7,33259.0,2.6,3,6,1805949.0,1330852.0,74.2,270568.0,20.3,3,4,1936403.0,1393326.0,72.0,154964.0,11.1
Koppal,13,4,1413496.0,892586.0,63.2,43623.0,4.9,13,2,1363431.0,754803.0,55.4,81789.0,10.8,13,2,1535105.0,1006508.0,65.6,32414.0,3.2,13,2,1706900.0,1190347.0,70.4,38397.0,3.2,13,4,1866397.0,1328936.0,71.2,46357.0,3.5
